episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1,825600,672000,0.343402, 1.841625, 0.323741, 0.011111, 26,0, 0,0
2,940800,300000,0.328857, 2.505401, 0.441176, 0.016667, 26,1, 0,-563.094726062468
3,940800,1305600,1.027273, 3.550000, 0.466321, 0.011111, 26,41, 0,-547.0232974910394
4,1171200,672000,0.366440, 1.799785, 0.454545, 0.011111, 26,18, 0,-603.3405017921147
5,2227200,1113600,0.302349, 1.550830, 0.480000, 0.000000, 25,39, 0,-577.3804403481822
6,1804800,300000,0.226415, 3.049555, 0.472441, 0.005556, 25,5, 0,-646.0957501280081
7,1401600,1632000,0.265260, 2.447534, 0.416667, 0.005556, 26,59, 0,-583.0709165386585
8,1401600,1632000,0.228461, 1.026999, 0.410023, 0.016667, 25,59, 0,-640.6676907322069
9,710400,672000,0.287689, 1.370135, 0.460358, 0.011111, 25,16, 0,-641.0010240655402
10,710400,844800,0.346226, 1.683148, 0.477454, 0.005556, 26,24, 0,-558.6661546338966
11,1612800,1305600,0.243526, 1.186912, 0.471204, 0.005556, 25,44, 0,-568.010240655402
12,1612800,1305600,0.247525, 1.142056, 0.474934, 0.005556, 26,44, 0,-631.4516129032257
13,2016000,1113600,0.000000, 0.333333, 0.379747, 0.016667, 26,38, 0,-631.1182795698925
14,1804800,1305600,0.666667, 2.000000, 0.433735, 0.016667, 26,45, 0,-637.0322580645161
15,2227200,300000,0.260209, 2.886943, 0.460358, 0.005556, 25,7, 0,-639.0547875064004
16,1612800,1478400,0.295088, 1.179926, 0.303030, 0.011111, 26,52, 0,-600.531233998976
17,1612800,499200,0.236204, 1.591383, 0.463918, 0.000000, 26,12, 0,-640.7956989247311
18,2016000,672000,0.218632, 1.787310, 0.451128, 0.011111, 26,22, 0,-585.9569892473118
19,940800,1632000,0.204494, 1.748732, 0.462725, 0.000000, 25,57, 0,-612.3010752688172
20,1401600,300000,0.250000, 2.750000, 0.444444, 0.005556, 25,3, 0,-621.9534050179211
21,1612800,499200,0.400000, 3.400000, 0.451128, 0.011111, 25,12, 0,-566.4042498719917
22,710400,1478400,0.000000, 2.500000, 0.415704, 0.011111, 25,48, 0,-586.2903225806451
23,1804800,672000,0.333333, 1.166667, 0.472441, 0.000000, 25,21, 0,-603.8274449564772
24,2227200,1632000,0.000000, 1.500000, 0.465116, 0.005556, 25,63, 0,-603.9042498719917
25,1612800,1305600,0.247172, 1.088445, 0.258621, 0.016667, 26,44, 0,-675.1280081925242
26,940800,1113600,0.000000, 2.666667, 0.446650, 0.022222, 26,33, 0,-631.1182795698925
27,2016000,499200,0.250000, 2.883333, 0.456853, 0.005556, 26,14, 0,-592.5878136200716
28,2016000,844800,0.203774, 2.056500, 0.458015, 0.005556, 25,30, 0,-602.6236559139785
29,1804800,1632000,0.220000, 1.253984, 0.442260, 0.005556, 26,61, 0,-622.3118279569892
30,1401600,300000,0.232921, 2.065416, 0.447761, 0.011111, 24,3, 0,-657.3343573988735
31,1171200,1305600,0.258214, 1.411284, 0.452261, 0.016667, 26,42, 0,-566.7375832053251
32,2227200,1478400,0.206505, 1.080885, 0.465116, 0.000000, 26,55, 0,-612.8643113159242
33,1171200,1478400,0.332225, 1.045677, 0.416667, 0.016667, 26,50, 0,-666.1925243215566
34,940800,1632000,0.303922, 1.212194, 0.459184, 0.016667, 26,57, 374700.03125,-622.541730670763
35,2227200,672000,0.394444, 1.132487, 0.441176, 0.016667, 26,23, 373806.6875,-621.6200716845879
36,2016000,672000,0.250000, 1.833333, 0.458015, 0.011111, 26,22, 375594.09375,-621.031233998976
37,710400,300000,0.166667, 2.421429, 0.453401, 0.011111, 26,0, 373068.9375,-612.3010752688172
38,2227200,844800,0.125000, 3.633333, 0.114358, 0.016667, 26,31, 370539.0625,-537.4994879672299
39,2016000,844800,0.000000, 1.733333, 0.435835, 0.027778, 26,30, 378458.78125,-630.7086533538146
40,2227200,300000,0.250043, 1.486797, 0.447761, 0.022222, 26,7, 371884.21875,-621.9784946236559
41,1612800,1478400,0.251949, 3.047224, 0.455696, 0.005556, 25,52, 370178.4375,-600.1979006656426
42,1804800,672000,0.000000, 0.833333, 0.466321, 0.011111, 25,21, 370694.46875,-641.1290322580645
43,940800,1305600,0.250000, 2.750000, 0.260116, 0.005556, 25,41, 375260.8125,-603.9042498719917
44,940800,300000,0.250000, 2.516667, 0.481283, 0.005556, 26,1, 368147.5,-603.673835125448
45,2227200,1632000,0.289822, 2.074996, 0.358566, 0.011111, 26,63, 369303.65625,-547.0232974910394
46,1612800,300000,0.240736, 3.133086, 0.430622, 0.011111, 23,4, 365592.15625,-674.794674859191
47,1804800,300000,0.287379, 3.088067, 0.465116, 0.033333, 26,5, 367991.0625,-575.8010752688173
48,2227200,672000,0.207323, 3.142295, 0.443350, 0.011111, 25,23, 362684.3125,-582.7375832053251
49,1804800,1113600,0.232879, 1.280437, 0.439024, 0.005556, 26,37, 369854.34375,-621.3645673323092
50,2016000,1632000,0.250000, 3.016667, 0.428571, 0.016667, 26,62, 366718.25,-628.3020993343573
51,1401600,1113600,0.274916, 0.897885, 0.421546, 0.022222, 26,35, 371651.6875,-666.0645161290322
52,1612800,1632000,0.250000, 1.500000, 0.447761, 0.016667, 26,60, 367168.0625,-611.6354326676907
53,2016000,1113600,0.287083, 1.127353, 0.460358, 0.011111, 26,38, 370335.53125,-649.3978494623656
54,2016000,1113600,0.000000, 1.500000, 0.472441, 0.005556, 26,38, 380560.34375,-637.0322580645161
55,710400,499200,0.333333, 1.966667, 0.432692, 0.016667, 26,8, 368882.0,-637.0322580645161
56,1804800,1632000,0.386792, 2.248999, 0.416667, 0.005556, 25,61, 370165.125,-548.6554019457245
57,2016000,1305600,0.000000, 1.500000, 0.460358, 0.005556, 26,46, 370139.03125,-657.6676907322069
58,1171200,1632000,0.265675, 1.179771, 0.450000, 0.016667, 26,58, 369333.84375,-647.7849462365591
59,1171200,1632000,0.301743, 1.071630, 0.473684, 0.005556, 26,58, 370165.84375,-631.1438812083973
60,2016000,1478400,0.316690, 1.055700, 0.349515, 0.000000, 25,54, 362355.34375,-631.1438812083973
