episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
1,710400,1632000,0.527842,1.255088,0.446650,0.000000,26,0,0,0,0
2,940800,672000,0.269007,1.870570,0.454545,0.000000,25,7,0,374661.8125,-612.0962621607782
3,1171200,672000,0.250000,3.011905,0.462725,0.005556,25,8,0,323079.15625,-568.1899641577061
4,710400,300000,0.142857,2.880952,0.485175,0.000000,26,0,0,333429.5,-577.7137736815156
5,710400,499200,0.142857,2.800000,0.455696,0.000000,26,3,0,288170.34375,-537.4994879672299
6,1171200,499200,0.142857,2.619841,0.400891,0.000000,26,5,0,299698.25,-548.6554019457245
7,710400,499200,0.522222,2.672619,0.299501,0.000000,25,3,0,320293.0625,-567.7030209933436
8,940800,672000,0.600000,1.545238,0.247253,0.000000,25,7,0,298892.71875,-548.9887352790578
9,710400,499200,0.285714,2.835714,0.474934,0.000000,25,3,0,319561.53125,-568.1899641577061
10,940800,499200,0.500000,3.600000,0.441176,0.000000,26,4,0,297784.4375,-548.9887352790578
11,710400,499200,0.333333,3.016667,0.472441,0.000000,26,3,0,306903.8125,-558.179211469534
12,710400,499200,1.200000,2.680952,0.406321,0.005556,26,3,0,295251.9375,-548.6554019457245
13,1171200,300000,0.515152,3.228535,0.439024,0.000000,26,2,0,294653.375,-548.6554019457245
14,1171200,499200,0.111111,2.880051,0.472441,0.000000,25,5,0,302197.21875,-556.547107014849
15,940800,499200,0.000000,1.483333,0.466321,0.000000,25,4,0,313607.65625,-568.0363543266769
16,1171200,499200,0.398601,3.318065,0.329068,0.000000,25,5,0,302197.34375,-558.5125448028673
17,1171200,300000,0.291667,2.827778,0.476190,0.000000,26,2,0,312821.875,-568.0363543266769
18,710400,300000,0.153846,3.450050,0.472441,0.000000,26,0,0,296386.8125,-556.547107014849
19,1171200,672000,0.392857,3.246032,0.455696,0.000000,25,8,0,275053.1875,-537.4994879672299
20,1171200,672000,0.200000,1.900000,0.482574,0.005556,25,8,0,316120.75,-577.7137736815156
21,710400,499200,0.250000,2.166667,0.444444,0.000000,25,3,0,313786.71875,-577.7137736815156
22,1171200,672000,0.000000,2.466667,0.408163,0.000000,25,8,0,282907.96875,-548.9887352790578
23,710400,499200,0.400000,3.750000,0.463918,0.000000,25,3,0,311555.96875,-577.7137736815156
