episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
2,710400,672000,0.314664,1.959535,0.471204,0.011111,25,6,0,311735.53125,-558.3328213005632
3,710400,576000,0.385685,2.000705,0.446650,0.022222,26,0,0,312452.875,-558.6661546338966
4,940800,576000,0.368135,2.083301,0.458015,0.016667,26,1,0,305694.59375,-552.9564772145417
5,1171200,672000,0.307117,2.071679,0.452261,0.011111,26,8,0,315839.46875,-562.4802867383512
6,1171200,576000,0.238095,1.942945,0.454545,0.016667,26,2,0,332364.15625,-577.3804403481822
7,1171200,672000,0.250000,2.650000,0.460358,0.005556,26,8,0,325715.90625,-572.0040962621607
8,710400,576000,0.304325,1.955295,0.365854,0.011111,26,0,0,331379.5625,-577.3804403481822
9,940800,576000,0.399029,2.870432,0.466321,0.011111,26,4,0,303293.90625,-552.9564772145417
10,940800,576000,0.390833,2.604407,0.480000,0.016667,26,1,0,313490.21875,-562.4802867383512
11,1171200,672000,0.228900,1.975926,0.459184,0.011111,26,8,0,312655.5625,-562.4802867383512
12,940800,576000,0.344626,2.579989,0.207135,0.011111,26,1,0,328007.8125,-577.3804403481822
13,940800,576000,0.343601,2.198416,0.289389,0.022222,26,4,0,310566.40625,-562.4802867383512
14,1171200,576000,0.246166,2.063539,0.365854,0.016667,26,2,0,309442.03125,-562.4802867383512
15,1171200,672000,0.362036,1.928523,0.466321,0.005556,26,8,0,319336.1875,-572.0040962621607
16,940800,576000,0.400000,2.416667,0.447761,0.005556,26,1,0,324406.71875,-577.3804403481822
17,940800,576000,0.267513,2.190794,0.478723,0.005556,26,1,0,306536.0,-562.4802867383512
18,710400,576000,0.474475,2.900362,0.476190,0.005556,25,3,0,304954.03125,-562.4802867383512
19,1171200,576000,0.449761,2.151945,0.352941,0.000000,26,2,0,293730.3125,-553.289810547875
20,710400,576000,0.389640,2.192684,0.455696,0.027778,26,3,0,312034.8125,-572.0040962621607
21,1171200,576000,0.250000,2.650000,0.432692,0.016667,26,5,0,290038.25,-552.9564772145417
22,710400,672000,0.442363,1.996478,0.460358,0.016667,26,6,0,309275.0,-572.0040962621607
23,710400,576000,0.400000,2.500000,0.472441,0.005556,26,3,0,291412.8125,-558.3328213005632
24,710400,672000,0.471968,2.002598,0.426540,0.027778,26,6,0,284606.03125,-552.9564772145417
25,1171200,576000,0.378017,2.070290,0.471204,0.005556,26,2,0,287229.0625,-558.3328213005632
26,1171200,576000,0.420323,2.187768,0.437956,0.027778,26,2,0,300361.71875,-572.0040962621607
27,710400,576000,0.250000,2.600000,0.447761,0.016667,26,0,0,297226.03125,-572.0040962621607
28,940800,576000,0.480838,2.144492,0.440098,0.016667,26,1,0,273528.75,-552.9564772145417
29,940800,672000,0.474415,2.090075,0.261248,0.011111,26,7,0,280056.21875,-562.4802867383512
30,710400,576000,0.548775,2.007984,0.442260,0.011111,26,0,0,282942.75,-567.8566308243727
31,940800,576000,0.675131,2.077001,0.140187,0.016667,26,4,0,263789.125,-552.9564772145417
32,940800,672000,0.592969,2.077684,0.459184,0.005556,26,7,0,270437.96875,-562.4802867383512
33,710400,672000,0.525436,1.824317,0.468750,0.005556,25,6,0,270763.78125,-567.8566308243727
34,710400,576000,0.673077,2.225997,0.478723,0.011111,26,0,0,256946.703125,-558.6661546338966
35,1171200,576000,0.352225,2.138669,0.391304,0.022222,26,5,0,248691.71875,-552.9564772145417
36,1171200,672000,0.384753,2.054345,0.461538,0.022222,26,8,0,260336.6875,-572.0040962621607
37,1171200,576000,0.386212,2.051553,0.472441,0.011111,26,2,0,261325.140625,-577.3804403481822
38,710400,576000,0.491428,2.099363,0.270270,0.005556,25,3,0,250319.796875,-572.0040962621607
39,1171200,672000,0.429275,1.956565,0.447761,0.011111,26,8,0,226572.453125,-553.289810547875
40,940800,576000,0.399887,2.133148,0.452261,0.011111,26,4,0,244407.03125,-577.3804403481822
41,1171200,576000,0.343137,2.091139,0.072435,0.044444,26,5,0,223103.78125,-562.4802867383512
42,1171200,576000,0.347451,2.065535,0.452261,0.016667,26,2,0,225338.421875,-572.0040962621607
43,1171200,576000,0.348112,2.040409,0.444444,0.011111,25,5,0,218204.828125,-572.0040962621607
44,1171200,672000,0.329280,1.976012,0.289855,0.011111,26,8,0,211382.1875,-572.3374295954941
45,940800,576000,0.405713,1.997579,0.454545,0.005556,26,4,0,208745.640625,-577.3804403481822
46,1171200,672000,0.315345,1.925163,0.444444,0.011111,25,8,0,187878.390625,-562.4802867383512
47,710400,576000,0.472177,1.882883,0.459184,0.005556,25,3,0,193765.203125,-577.7137736815156
48,940800,576000,0.585761,2.114178,0.468750,0.011111,26,1,0,165058.125,-553.289810547875
49,940800,672000,0.466667,2.110825,0.444444,0.022222,26,7,0,166182.328125,-562.4802867383512
50,1171200,672000,0.386850,1.731278,0.463918,0.000000,26,8,0,155990.140625,-567.8566308243727
51,1171200,576000,0.406676,2.146952,0.466321,0.011111,25,5,0,155170.5,-577.3804403481822
52,710400,672000,0.388052,1.915988,0.459184,0.022222,26,6,0,147153.875,-572.3374295954941
53,1171200,672000,0.458653,1.922447,0.450000,0.016667,26,8,0,122214.015625,-558.3328213005632
54,710400,576000,0.477922,2.027887,0.467532,0.038889,26,0,0,132364.8125,-577.3804403481822
55,940800,672000,0.477866,1.959585,0.320856,0.044444,26,7,0,102268.96875,-552.9564772145417
56,1171200,672000,0.277336,1.843148,0.444444,0.027778,25,8,0,104660.0703125,-567.8566308243727
57,710400,576000,0.442810,2.003860,0.453401,0.016667,25,0,0,100253.2109375,-577.7137736815156
58,710400,672000,0.466931,1.999904,0.436893,0.016667,25,6,0,80001.2421875,-553.289810547875
59,940800,576000,0.484405,1.916047,0.466321,0.000000,26,1,0,73358.734375,-558.6661546338966
60,1171200,672000,0.377115,1.961258,0.157756,0.016667,26,8,0,65763.9765625,-562.4802867383512
61,1171200,672000,0.344160,1.854650,0.195440,0.022222,26,8,0,64965.09375,-577.3804403481822
62,1171200,672000,0.380481,1.999390,0.393013,0.038889,25,8,0,54875.40625,-577.3804403481822
63,1171200,576000,0.370836,1.974674,0.463918,0.011111,26,2,0,49224.546875,-577.7137736815156
64,1171200,576000,0.399394,2.094429,0.443350,0.016667,26,5,0,36748.61328125,-572.0040962621607
65,940800,576000,0.319430,2.181048,0.478723,0.000000,25,1,0,30944.330078125,-572.0040962621607
66,710400,576000,0.502742,2.146439,0.460358,0.011111,26,3,0,20048.4453125,-562.8136200716846
67,940800,576000,0.391297,2.078964,0.466321,0.005556,26,4,0,13693.841796875,-552.9564772145417
68,710400,576000,0.616532,2.123034,0.466321,0.011111,25,0,0,11110.1044921875,-562.4802867383512
69,1171200,576000,0.437456,2.189697,0.462725,0.011111,26,2,0,6549.56982421875,-553.289810547875
70,710400,576000,0.437132,2.101507,0.313589,0.016667,25,0,0,5523.25048828125,-572.0040962621607
71,710400,672000,0.411722,2.122320,0.421546,0.000000,25,6,0,979.2728271484375,-553.289810547875
72,1171200,576000,0.481097,1.995035,0.446650,0.027778,25,2,0,1272.5654296875,-558.6661546338966
73,940800,576000,0.331890,2.151980,0.467532,0.005556,26,1,0,920.872802734375,-572.3374295954941
74,710400,576000,0.399195,2.178559,0.353635,0.005556,25,3,0,0.07373690605163574,-562.4802867383512
75,940800,576000,0.461795,2.168187,0.329068,0.005556,25,4,0,387.5544128417969,-553.289810547875
76,710400,672000,0.357276,2.115165,0.428571,0.016667,25,6,0,465.9606018066406,-562.8136200716846
77,710400,672000,0.484488,1.933818,0.431655,0.011111,26,6,0,2143.892333984375,-558.6661546338966
78,710400,672000,0.452830,1.947140,0.097087,0.033333,26,6,0,1932.5157470703125,-558.3328213005632
79,1171200,672000,0.338664,1.869643,0.461538,0.011111,26,8,0,2369.593017578125,-558.3328213005632
80,1171200,576000,0.319700,1.987386,0.473684,0.005556,26,2,0,1226.2650146484375,-577.3804403481822
81,940800,672000,0.808751,2.113800,0.452261,0.011111,26,7,0,2155.27392578125,-572.0040962621607
82,1171200,576000,0.377121,1.969992,0.467532,0.005556,26,5,0,3337.2763671875,-567.8566308243727
83,940800,576000,0.326665,2.098067,0.460358,0.005556,26,1,0,8360.068359375,-572.0040962621607
84,1171200,576000,0.418360,2.075818,0.450000,0.016667,25,2,0,4665.205078125,-562.4802867383512
85,940800,672000,0.362748,1.857418,0.458015,0.005556,26,7,0,3189.092041015625,-572.3374295954941
86,710400,576000,0.521442,2.141200,0.466321,0.011111,25,0,0,4708.82958984375,-567.8566308243727
87,1171200,576000,0.341376,2.125615,0.346154,0.016667,26,2,0,3605.473388671875,-553.289810547875
88,940800,576000,0.470996,2.122762,0.417633,0.033333,25,1,0,3036.525146484375,-572.0040962621607
89,710400,672000,0.435668,1.969631,0.463918,0.005556,26,6,0,3802.1103515625,-562.8136200716846
90,1171200,576000,0.431530,2.173084,0.453401,0.011111,26,5,0,3726.1025390625,-558.3328213005632
91,1171200,576000,0.321951,2.103891,0.197152,0.011111,26,2,0,754.8910522460938,-572.0040962621607
92,940800,672000,0.330847,2.053003,0.480000,0.005556,26,7,0,1909.605712890625,-572.0040962621607
93,1171200,576000,0.372265,1.967348,0.469974,0.005556,26,2,0,964.9205932617188,-567.8566308243727
94,1171200,576000,0.364176,2.111970,0.466321,0.016667,26,5,0,236.16171264648438,-572.0040962621607
95,1171200,576000,0.333273,2.034385,0.392157,0.016667,26,5,0,93.71762084960938,-572.0040962621607
