episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
65,940800,672000,0.309524,1.971429,0.441176,0.016667,26,7,0,35190.96875,-577.3804403481822
66,1171200,672000,0.264151,2.029184,0.441176,0.038889,25,8,0,24501.36328125,-567.8566308243727
67,940800,672000,0.301594,1.996810,0.453401,0.000000,26,7,0,42320.8828125,-577.7137736815156
68,940800,499200,0.000000,2.761905,0.462725,0.000000,26,4,0,30885.712890625,-567.8566308243727
69,710400,499200,0.356900,2.314216,0.388769,0.011111,25,3,0,23340.451171875,-558.179211469534
70,940800,300000,0.290909,2.263007,0.459184,0.000000,26,1,0,10325.9599609375,-548.9887352790578
71,940800,672000,0.738095,3.347619,0.476190,0.000000,25,7,0,9718.8076171875,-547.0232974910394
72,940800,672000,0.333333,2.166667,0.465116,0.005556,25,7,0,11868.7421875,-568.1899641577061
73,940800,499200,0.000000,2.000000,0.476190,0.000000,25,4,0,0.023115728050470352,-568.1899641577061
74,1171200,300000,0.348485,3.436630,0.453401,0.000000,25,2,0,3949.9736328125,-558.5125448028673
75,940800,499200,0.296806,2.627139,0.238727,0.000000,26,4,0,5943.060546875,-556.8804403481822
76,1171200,672000,0.255302,2.300841,0.193548,0.016667,26,8,0,1892.71728515625,-558.179211469534
77,940800,499200,0.708333,3.073810,0.450000,0.000000,26,4,0,228.64378356933594,-577.3804403481822
78,1171200,499200,0.219266,2.315468,0.450000,0.000000,26,5,0,8.593442916870117,-558.179211469534
79,710400,300000,0.340209,3.002698,0.452261,0.000000,26,0,0,4847.5302734375,-567.7030209933436
80,940800,499200,0.394495,2.986051,0.462725,0.000000,26,4,0,1388.4765625,-537.4994879672299
81,1171200,300000,0.181818,3.595960,0.424528,0.000000,26,2,0,3803.796630859375,-558.179211469534
82,1171200,300000,0.000000,3.416162,0.453401,0.000000,26,2,0,6932.412109375,-556.547107014849
83,710400,499200,0.409791,2.282178,0.466321,0.000000,27,3,0,14197.572265625,-556.547107014849
84,1171200,300000,0.281818,3.184848,0.453401,0.000000,27,2,0,11326.58984375,-548.3220686123911
85,710400,499200,0.331957,2.429377,0.317460,0.005556,26,3,0,1185.0587158203125,-556.2137736815156
86,710400,499200,0.200000,2.800000,0.453401,0.000000,26,3,0,10694.9228515625,-548.6554019457245
87,710400,499200,0.866667,2.559524,0.466321,0.000000,26,3,0,1884.7913818359375,-548.6554019457245
88,710400,672000,1.200000,2.883333,0.466321,0.005556,26,6,0,3577.66650390625,-548.6554019457245
89,710400,672000,0.400000,3.100000,0.465116,0.000000,26,6,0,4016.23583984375,-558.3328213005632
90,710400,672000,0.360377,1.964203,0.486486,0.000000,26,6,0,10815.7587890625,-558.3328213005632
91,940800,300000,0.400000,3.026984,0.462725,0.000000,26,1,0,5200.748046875,-558.3328213005632
92,1171200,499200,0.290415,2.683983,0.481283,0.000000,26,5,0,12.104742050170898,-547.0232974910394
93,710400,672000,0.290374,2.314645,0.466321,0.000000,26,6,0,1418.075927734375,-567.7030209933436
94,710400,672000,0.344987,1.877069,0.385439,0.000000,25,6,0,577.5244750976562,-558.3328213005632
95,1171200,499200,0.332954,2.080085,0.452261,0.005556,26,5,0,128.17849731445312,-558.6661546338966
96,940800,300000,0.251298,2.878527,0.456853,0.000000,25,1,0,2764.35009765625,-567.7030209933436
97,1171200,499200,0.263741,2.328896,0.474934,0.000000,25,5,0,290.8540344238281,-547.3566308243727
98,940800,672000,0.251541,2.291876,0.425532,0.000000,26,7,0,22.858600616455078,-568.0363543266769
99,940800,499200,0.279279,2.237043,0.486486,0.000000,25,4,0,976.982177734375,-567.8566308243727
100,710400,499200,0.277446,2.272037,0.473684,0.005556,26,3,0,634.7760620117188,-558.5125448028673
101,710400,300000,0.904762,3.130952,0.446650,0.000000,26,0,0,646.594482421875,-548.6554019457245
102,1171200,300000,0.250000,3.339286,0.458015,0.000000,25,2,0,278.80682373046875,-537.4994879672299
103,710400,300000,0.285714,2.825397,0.446650,0.000000,25,0,0,1670.8504638671875,-556.8804403481822
104,710400,672000,0.000000,3.225000,0.472441,0.000000,25,6,0,2590.16015625,-537.8328213005632
105,940800,672000,0.229851,2.000314,0.466321,0.000000,26,7,0,167.28573608398438,-558.6661546338966
106,1171200,300000,0.309735,2.982285,0.460358,0.000000,25,2,0,0.07013574242591858,-567.8566308243727
107,940800,672000,0.255621,3.005186,0.476190,0.000000,25,7,0,2654.19921875,-556.8804403481822
108,710400,300000,0.166667,2.695238,0.466321,0.000000,26,0,0,27.009666442871094,-568.1899641577061
109,710400,499200,0.351216,3.048926,0.462725,0.000000,26,3,0,936.4743041992188,-537.4994879672299
110,710400,300000,0.407546,3.104205,0.447761,0.000000,24,0,0,397.9372253417969,-548.6554019457245
111,710400,300000,0.663158,3.619195,0.468750,0.000000,24,0,0,709.0986328125,-538.1661546338966
112,710400,300000,0.308621,2.974431,0.456853,0.000000,26,0,0,545.5948486328125,-538.1661546338966
113,940800,672000,0.204772,2.056927,0.442260,0.016667,26,7,0,4411.58154296875,-537.4994879672299
114,1171200,672000,0.338721,1.939674,0.466321,0.000000,26,8,0,399.6412048339844,-567.8566308243727
115,1171200,300000,0.269565,1.948337,0.466321,0.000000,25,2,0,5913.63720703125,-577.3804403481822
116,940800,499200,0.337349,2.291536,0.446650,0.005556,26,4,0,2850.34375,-556.8804403481822
117,1171200,672000,0.263183,2.092315,0.412844,0.016667,26,8,0,4770.55615234375,-558.179211469534
118,940800,499200,0.200000,2.300000,0.462725,0.000000,26,4,0,3627.62109375,-577.3804403481822
119,940800,672000,0.166667,2.400000,0.486486,0.000000,26,7,0,1981.2442626953125,-558.179211469534
120,710400,499200,0.319249,2.107784,0.450000,0.000000,26,3,0,2651.4140625,-567.8566308243727
121,940800,672000,0.407996,2.231918,0.466321,0.000000,25,7,0,362.337158203125,-548.6554019457245
122,940800,672000,0.450000,2.666667,0.451128,0.000000,25,7,0,3306.48876953125,-568.1899641577061
123,1171200,672000,0.250000,3.500000,0.485175,0.000000,25,8,0,1078.1707763671875,-568.1899641577061
124,1171200,300000,0.260209,2.910775,0.483871,0.000000,26,2,0,74.2632827758789,-577.7137736815156
125,1171200,499200,0.590909,3.727273,0.340265,0.000000,26,5,0,4400.359375,-556.547107014849
126,1171200,300000,0.313948,2.211815,0.460358,0.022222,25,2,0,82.4378433227539,-567.7030209933436
127,940800,499200,0.292929,3.227273,0.486486,0.000000,25,4,0,9275.509765625,-556.8804403481822
128,940800,499200,0.299616,2.335668,0.472441,0.000000,26,4,0,597.4300537109375,-558.5125448028673
129,940800,499200,0.383669,2.346778,0.466321,0.000000,26,4,0,1789.44384765625,-558.179211469534
130,710400,499200,0.250000,2.732143,0.428571,0.000000,26,3,0,217.71917724609375,-558.179211469534
131,1171200,672000,0.315789,2.341260,0.311532,0.044199,26,8,0,1.1065796613693237,-548.6554019457245
132,710400,499200,0.351923,2.138149,0.471204,0.000000,26,3,0,265.46282958984375,-577.3804403481822
133,940800,672000,0.452830,2.284602,0.481283,0.000000,25,7,0,34.110191345214844,-548.6554019457245
134,1171200,300000,0.125000,2.978571,0.474934,0.005556,25,2,0,1678.6485595703125,-568.1899641577061
135,710400,499200,1.006993,3.378205,0.232859,0.000000,25,3,0,31.762277603149414,-556.8804403481822
136,1171200,300000,0.250000,2.688095,0.416667,0.000000,25,2,0,678.9962158203125,-548.9887352790578
137,710400,672000,0.261926,2.975663,0.477454,0.000000,25,6,0,6438.89697265625,-556.8804403481822
138,1171200,300000,0.489325,2.028210,0.468750,0.000000,26,2,0,3.263068199157715,-558.6661546338966
139,940800,499200,0.333333,3.216667,0.474934,0.005556,26,4,0,542.295166015625,-556.547107014849
140,940800,300000,0.353982,2.344475,0.451128,0.000000,25,1,0,973.8864135742188,-558.179211469534
141,710400,300000,0.400000,3.616162,0.320285,0.005556,25,0,0,2395.470458984375,-547.3566308243727
142,940800,499200,0.833333,2.822222,0.489130,0.000000,25,4,0,31.850399017333984,-537.8328213005632
143,710400,499200,0.000000,2.333333,0.454545,0.000000,25,3,0,2486.194580078125,-558.5125448028673
144,940800,499200,0.000000,2.954762,0.453401,0.000000,25,4,0,1361.0037841796875,-548.9887352790578
145,1171200,499200,0.339325,2.362863,0.472441,0.000000,26,5,0,2274.574951171875,-558.5125448028673
146,1171200,499200,0.279466,2.247226,0.222222,0.000000,25,5,0,215.4645538330078,-567.7030209933436
147,1171200,672000,0.288149,2.265193,0.462725,0.000000,26,8,0,1056.72216796875,-568.0363543266769
148,940800,499200,0.285714,2.357143,0.474934,0.000000,26,4,0,2854.040283203125,-577.3804403481822
149,940800,499200,0.571429,2.666667,0.465116,0.011111,26,4,0,666.9281005859375,-558.179211469534
150,1171200,672000,0.280153,2.302653,0.476190,0.000000,25,8,0,888.290283203125,-558.179211469534
151,1171200,672000,0.265000,1.931515,0.476190,0.000000,26,8,0,273.79705810546875,-577.7137736815156
152,1171200,672000,0.283621,1.921604,0.452261,0.011111,26,8,0,1671.953369140625,-577.3804403481822
153,940800,672000,0.000000,3.233333,0.489130,0.000000,26,7,0,3806.9140625,-577.3804403481822
154,940800,499200,0.321750,2.121296,0.448878,0.000000,26,4,0,2428.35888671875,-567.8566308243727
155,710400,672000,0.200000,3.133333,0.461538,0.000000,25,6,0,864.5372924804688,-558.179211469534
156,940800,300000,0.000000,2.380952,0.444444,0.005556,25,1,0,940.9548950195312,-558.6661546338966
157,710400,499200,0.162338,3.088278,0.476190,0.000000,25,3,0,1759.803466796875,-547.3566308243727
158,1171200,300000,0.255048,2.932687,0.387931,0.000000,25,2,0,478.59039306640625,-548.9887352790578
159,1171200,499200,0.273348,2.669633,0.476190,0.000000,26,5,0,679.6484375,-556.8804403481822
160,1171200,499200,0.240499,2.230389,0.421546,0.005556,25,5,0,210.43589782714844,-567.7030209933436
161,1171200,300000,0.111111,3.121212,0.482574,0.000000,25,2,0,44.13438415527344,-568.0363543266769
162,1171200,300000,0.200000,3.507071,0.304054,0.044444,25,2,0,158.04498291015625,-556.8804403481822
163,940800,300000,0.317420,3.019734,0.482574,0.000000,25,1,0,1117.1114501953125,-556.8804403481822
164,710400,499200,0.349550,2.704416,0.453401,0.000000,26,3,0,5163.3310546875,-547.3566308243727
165,940800,499200,0.500000,2.250000,0.437956,0.005556,26,4,0,1409.9649658203125,-548.6554019457245
166,710400,672000,0.302752,2.037085,0.476190,0.000000,26,6,0,92.05643463134766,-558.179211469534
167,940800,499200,0.440943,2.033275,0.466321,0.000000,26,4,0,96.30791473388672,-558.3328213005632
168,940800,499200,0.276661,2.244868,0.482574,0.005556,26,4,0,1093.4801025390625,-558.179211469534
169,710400,300000,0.200000,2.533333,0.465116,0.005556,26,0,0,813.5029296875,-558.179211469534
170,1171200,300000,0.320513,3.477778,0.472441,0.000000,26,2,0,3.7152185440063477,-537.4994879672299
171,940800,499200,0.293269,2.585586,0.473684,0.005556,26,4,0,321.6510009765625,-556.547107014849
172,940800,672000,0.166667,3.050000,0.474934,0.000000,26,7,0,3132.4052734375,-558.179211469534
173,940800,672000,0.142857,2.357143,0.456853,0.000000,25,7,0,124.21961975097656,-567.8566308243727
174,1171200,672000,0.000000,2.204762,0.476190,0.000000,25,8,0,292.0377197265625,-568.1899641577061
175,1171200,672000,0.125000,2.666667,0.486486,0.000000,25,8,0,1549.4775390625,-577.7137736815156
176,1171200,672000,0.166667,2.341270,0.471204,0.000000,26,8,0,2526.0625,-577.7137736815156
177,940800,672000,0.292453,1.967006,0.459184,0.000000,26,7,0,213.88348388671875,-577.3804403481822
178,1171200,672000,0.142857,2.547619,0.462725,0.000000,26,8,0,464.18365478515625,-567.8566308243727
179,940800,499200,0.301282,1.966154,0.476190,0.000000,25,4,0,2807.88720703125,-577.3804403481822
180,710400,499200,0.385779,2.210480,0.472441,0.000000,26,3,0,10.764198303222656,-558.5125448028673
181,1171200,499200,0.166667,3.300000,0.460358,0.000000,26,5,0,726.9217529296875,-548.6554019457245
182,1171200,672000,0.335728,2.291969,0.466321,0.000000,26,8,0,816.8731689453125,-567.7030209933436
183,710400,499200,0.315015,2.094496,0.444444,0.000000,26,3,0,1198.0496826171875,-577.3804403481822
184,940800,672000,0.392857,3.051587,0.465116,0.000000,26,7,0,189.26901245117188,-548.6554019457245
185,940800,672000,0.367438,1.961993,0.383795,0.005556,25,7,0,1175.32958984375,-567.8566308243727
186,1171200,300000,0.387338,2.917184,0.473684,0.005556,24,2,0,1869.100341796875,-568.1899641577061
187,1171200,672000,0.363636,3.346032,0.468750,0.000000,24,8,0,315.6607971191406,-557.2137736815156
188,940800,672000,0.000000,2.650000,0.454545,0.000000,24,7,0,261.5097961425781,-578.047107014849
189,940800,499200,0.397154,2.060824,0.466321,0.000000,25,4,0,4267.365234375,-568.5232974910394
190,940800,672000,0.333333,3.416667,0.480000,0.000000,25,7,0,57.07330322265625,-558.5125448028673
191,940800,672000,0.200000,2.566667,0.474934,0.000000,25,7,0,774.3943481445312,-568.1899641577061
192,1171200,499200,0.250000,1.666667,0.472441,0.000000,25,5,0,3787.296630859375,-568.1899641577061
193,940800,672000,0.414706,2.029127,0.486486,0.000000,26,7,0,0.44814133644104004,-568.0363543266769
194,1171200,499200,0.366667,2.700000,0.474934,0.000000,26,5,0,3335.411376953125,-567.8566308243727
195,940800,499200,0.473271,2.473375,0.466321,0.005556,26,4,0,664.5941772460938,-567.7030209933436
196,940800,499200,0.411164,2.310557,0.476190,0.000000,26,4,0,565.6668701171875,-558.179211469534
197,940800,300000,0.200000,3.454545,0.263543,0.072222,26,1,0,72.73016357421875,-558.179211469534
198,940800,300000,0.909091,3.344012,0.462725,0.005556,26,1,0,36.830169677734375,-547.0232974910394
199,940800,499200,0.404612,2.748832,0.440098,0.000000,26,4,0,3807.60693359375,-547.0232974910394
200,710400,300000,0.381558,2.419943,0.466321,0.000000,26,0,0,5321.0009765625,-558.179211469534
201,710400,672000,0.166667,3.666667,0.476190,0.000000,26,6,0,1354.7872314453125,-537.4994879672299
202,710400,672000,0.473856,2.043061,0.181635,0.000000,26,6,0,448.69293212890625,-558.3328213005632
