episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
65,710400,1785600,0.761905, 2.042857, 0.486486, 0.000000, 60,8, 0,0.7636797974196674
66,710400,1113600,0.333333, 1.928571, 0.493151, 0.000000, 60,8, 0,0.8430789581987997
67,710400,1036800,0.650000, 2.100000, 0.476190, 0.000000, 60,8, 0,0.848834437941018
68,710400,1305600,0.366667, 1.604762, 0.359281, 0.000000, 60,8, 0,0.8258953118603698
69,710400,1036800,0.500000, 1.433333, 0.466321, 0.000000, 60,0, 0,0.848834437941018
70,710400,1785600,0.200000, 2.028571, 0.502793, 0.000000, 60,8, 0,0.7636797974196674
71,710400,1478400,0.000000, 1.633333, 0.416667, 0.005556, 60,8, 0,0.8068042883612885
72,710400,1036800,0.366667, 1.761905, 0.467532, 0.000000, 60,8, 0,0.848834437941018
73,710400,1036800,0.000000, 0.700000, 0.388769, 0.000000, 60,8, 0,0.848834437941018
74,710400,1036800,0.200000, 1.750000, 0.400000, 0.005556, 60,8, 0,0.848834437941018
75,710400,1785600,0.200000, 1.950000, 0.378151, 0.000000, 60,0, 0,0.7636797974196674
76,710400,1036800,0.714286, 1.366667, 0.504202, 0.000000, 60,8, 0,0.848834437941018
77,710400,1036800,0.200000, 1.116667, 0.493151, 0.000000, 60,8, 0,0.848834437941018
78,710400,1036800,0.000000, 1.595238, 0.502793, 0.000000, 60,8, 0,0.848834437941018
79,710400,1785600,0.000000, 1.600000, 0.467532, 0.000000, 60,8, 0,0.7636797974196674
80,710400,1036800,0.400000, 0.600000, 0.306122, 0.005556, 60,8, 0,0.848834437941018
81,710400,1036800,0.333333, 0.766667, 0.493151, 0.000000, 60,8, 0,0.848834437941018
82,710400,1036800,0.708333, 1.975000, 0.477454, 0.005556, 60,0, 0,0.848834437941018
83,710400,1036800,0.595238, 1.766667, 0.477454, 0.005556, 60,0, 0,0.848834437941018
84,710400,1785600,0.000000, 1.566667, 0.223602, 0.000000, 60,8, 0,0.7636797974196674
85,710400,1036800,0.000000, 0.800000, 0.480000, 0.000000, 60,8, 0,0.848834437941018
86,710400,1785600,0.400000, 1.400000, 0.504202, 0.000000, 60,8, 0,0.7636797974196674
87,710400,1036800,0.500000, 1.321429, 0.463918, 0.000000, 60,0, 0,0.848834437941018
88,710400,1036800,0.366667, 0.866667, 0.491803, 0.000000, 60,8, 0,0.848834437941018
