normal_sbig_cpu_freq,normal_big_cpu_freq,normal_middle_cpu_freq,normal_little_cpu_freq,normal_sbig_util,normal_big_util,normal_middle_util,normal_little_util,normal_mem,normal_fps,next_normal_sbig_cpu_freq,next_normal_big_cpu_freq,next_normal_middle_cpu_freq,next_normal_little_cpu_freq,next_normal_sbig_util,next_normal_big_util,next_normal_middle_util,next_normal_little_util,next_normal_mem,next_normal_fps,action,reward,sbig_cpu_freq,big_cpu_freq,middle_cpu_freq,little_cpu_freq,sbig_util,big_util,middle_util,little_util,mem,fps,next_sbig_cpu_freq,next_big_cpu_freq,next_middle_cpu_freq,next_little_cpu_freq,next_sbig_util,next_big_util,next_middle_util,next_little_util,next_mem,next_fps
1.0,1.0,1.0,1.0,0.0,0.037975,0.545455,0.84,139.6302,1.1,0.15723270440251572,0.16883116883116883,0.6951219512195121,0.16101694915254236,0.0,0.0,0.428571,0.6,139.63236,1.1,38,95.02675610274802,3052800,2956800,3148800,2265600,0.000000,0.037975,0.545455,0.840000,13963020,66,480000,499200,2188800,364800,0.000000,0.000000,0.428571,0.600000,13963236,66
0.15723270440251572,0.16883116883116883,0.6951219512195121,0.16101694915254236,0.0,0.0,0.428571,0.6,139.63236,1.1,0.15723270440251572,0.2077922077922078,0.40853658536585363,0.16101694915254236,0.0,0.0,0.714286,0.533333,139.50312,1.0333333333333334,340,98.61472170012856,480000,499200,2188800,364800,0.000000,0.000000,0.428571,0.600000,13963236,66,480000,614400,1286400,364800,0.000000,0.000000,0.714286,0.533333,13950312,62
0.15723270440251572,0.2077922077922078,0.40853658536585363,0.16101694915254236,0.0,0.0,0.714286,0.533333,139.50312,1.0333333333333334,0.22012578616352202,0.2077922077922078,0.3048780487804878,0.16101694915254236,0.0,0.0,1.0,0.571429,139.33012,1.0333333333333334,576,99.66229640742081,480000,614400,1286400,364800,0.000000,0.000000,0.714286,0.533333,13950312,62,672000,614400,960000,364800,0.000000,0.000000,1.000000,0.571429,13933012,62
0.22012578616352202,0.2077922077922078,0.3048780487804878,0.16101694915254236,0.0,0.0,1.0,0.571429,139.33012,1.0333333333333334,0.15723270440251572,0.16883116883116883,0.4451219512195122,0.2457627118644068,0.0,0.0,0.875,0.8,139.30504,1.0166666666666666,169,97.63275644378535,672000,614400,960000,364800,0.000000,0.000000,1.000000,0.571429,13933012,62,480000,499200,1401600,556800,0.000000,0.000000,0.875000,0.800000,13930504,61
0.15723270440251572,0.16883116883116883,0.4451219512195122,0.2457627118644068,0.0,0.0,0.875,0.8,139.30504,1.0166666666666666,0.15723270440251572,0.16883116883116883,0.5121951219512195,0.16101694915254236,0.0,0.0,0.75,0.857143,139.28836,1.0166666666666666,135,96.50862077223877,480000,499200,1401600,556800,0.000000,0.000000,0.875000,0.800000,13930504,61,480000,499200,1612800,364800,0.000000,0.000000,0.750000,0.857143,13928836,61
0.15723270440251572,0.16883116883116883,0.5121951219512195,0.16101694915254236,0.0,0.0,0.75,0.857143,139.28836,1.0166666666666666,0.15723270440251572,0.24675324675324675,0.5792682926829268,0.2966101694915254,0.0,0.0,0.75,0.777778,139.27632,1.0166666666666666,374,94.91721031465482,480000,499200,1612800,364800,0.000000,0.000000,0.750000,0.857143,13928836,61,480000,729600,1824000,672000,0.000000,0.000000,0.750000,0.777778,13927632,61
0.15723270440251572,0.24675324675324675,0.5792682926829268,0.2966101694915254,0.0,0.0,0.75,0.777778,139.27632,1.0166666666666666,0.18867924528301888,0.16883116883116883,0.5121951219512195,0.2966101694915254,0.0,0.0,0.888889,0.6,139.27004,1.0166666666666666,402,96.1008474202825,480000,729600,1824000,672000,0.000000,0.000000,0.750000,0.777778,13927632,61,576000,499200,1612800,672000,0.000000,0.000000,0.888889,0.600000,13927004,61
0.18867924528301888,0.16883116883116883,0.5121951219512195,0.2966101694915254,0.0,0.0,0.888889,0.6,139.27004,1.0166666666666666,0.15723270440251572,0.16883116883116883,0.6097560975609756,0.2457627118644068,0.0,0.0,1.0,0.777778,139.25396,1.0166666666666666,42,94.26255659207911,576000,499200,1612800,672000,0.000000,0.000000,0.888889,0.600000,13927004,61,480000,499200,1920000,556800,0.000000,0.000000,1.000000,0.777778,13925396,61
0.15723270440251572,0.16883116883116883,0.6097560975609756,0.2457627118644068,0.0,0.0,1.0,0.777778,139.25396,1.0166666666666666,0.15723270440251572,0.16883116883116883,0.7378048780487805,0.16101694915254236,0.0,0.0,0.714286,0.75,139.24768,1.0166666666666666,25,90.69867819296196,480000,499200,1920000,556800,0.000000,0.000000,1.000000,0.777778,13925396,61,480000,499200,2323200,364800,0.000000,0.000000,0.714286,0.750000,13924768,61
0.15723270440251572,0.16883116883116883,0.7378048780487805,0.16101694915254236,0.0,0.0,0.714286,0.75,139.24768,1.0166666666666666,0.18867924528301888,0.16883116883116883,0.7134146341463414,0.2033898305084746,0.0,0.0,0.625,0.375,139.21296,1.0166666666666666,448,90.63237133983601,480000,499200,2323200,364800,0.000000,0.000000,0.714286,0.750000,13924768,61,576000,499200,2246400,460800,0.000000,0.000000,0.625000,0.375000,13921296,61
0.18867924528301888,0.16883116883116883,0.7134146341463414,0.2033898305084746,0.0,0.0,0.625,0.375,139.21296,1.0166666666666666,0.15723270440251572,0.24675324675324675,0.5121951219512195,0.16101694915254236,0.0,0.0,0.571429,0.571429,139.57084,1.0,225,95.31345737129193,576000,499200,2246400,460800,0.000000,0.000000,0.625000,0.375000,13921296,61,480000,729600,1612800,364800,0.000000,0.000000,0.571429,0.571429,13957084,60
